,写字楼名称,所在市区,租金,竣工时间,纬度,经度,geometry
223,博济智汇园,上海市宝山区,2-2.5元/m2/天,,31.343831,121.440858,POINT (121.440858 31.343831)
224,宝矿国际大厦,上海市虹口区,3.9-15元/m2/天,2005年9月,31.247411,121.49157,POINT (121.49157 31.247411)
225,五牛控股大厦,上海市闸北区,3.8-5.9元/m2/天,2016年,31.29788,121.458003,POINT (121.458003 31.29788)
226,安垦汇智（国企参股楼盘）,上海市闸北区,2.5-4.8元/m2/天,2019年3月,31.298014,121.442489,POINT (121.442489 31.298014)
227,首东国顺大厦,上海市杨浦区,2.8-3.5元/m2/天,2013年,31.303996,121.542254,POINT (121.542254 31.303996)
228,太平金融大厦,上海市浦东区,9.8-15元/m2/天,,31.23325,121.504241,POINT (121.504241 31.23325)
229,天地科技园,上海市普陀区,2.8-4.5元/m2/天,2020年11月11日,31.26335,121.392443,POINT (121.392443 31.26335)
230,金虹桥商务广场,上海市闵行区,3.1-6.5元/m2/天,2011年9月,31.181284,121.397308,POINT (121.397308 31.181284)
231,耀江国际广场,上海市虹口区,4.1-4.7元/m2/天,,31.248458,121.490658,POINT (121.490658 31.248458)
232,银历大厦,上海市闸北区,2.8-5.4元/m2/天,2009年11月,31.248204,121.480317,POINT (121.480317 31.248204)
233,优房商务中心,上海市闵行区,2-3.8元/m2/天,2013年,31.144821,121.343643,POINT (121.343643 31.144821)
234,中关村科技大厦,上海市普陀区,3-5.13元/m2/天,2005年,31.239773,121.41706,POINT (121.41706 31.239773)
235,宝华国际广场,上海市闸北区,5-7.1元/m2/天,2010年,31.279157,121.443377,POINT (121.443377 31.279157)
236,大宁商务中心（国企楼盘）,上海市闸北区,5-7元/m2/天,2017年11月,31.277982,121.441713,POINT (121.441713 31.277982)
237,上海北大科技园,上海市宝山区,2.8-3元/m2/天,2018年初,31.322234,121.486345,POINT (121.486345 31.322234)
238,禹洲广场,上海市浦东区,3.2-5元/m2/天,2014年,31.254176,121.61244,POINT (121.61244 31.254176)
239,汇阳广场,上海市徐汇区,3.7-4.86元/m2/天,2013年8月,31.17415,121.433762,POINT (121.433762 31.17415)
240,艾慕嘉·谊园,上海市徐汇区,5.8-15元/m2/天,,31.167852,121.432201,POINT (121.432201 31.167852)
241,上海御环科创园区,上海市浦东区,3-3.8元/m2/天,,31.157802,121.557985,POINT (121.557985 31.157802)
242,歌斐香溢广场,上海市普陀区,5-6.6元/m2/天,2019年,31.254737,121.43358,POINT (121.43358 31.254737)
243,徐汇德必易园,上海市徐汇区,3.6-5.5元/m2/天,2014年,31.155372,121.440585,POINT (121.440585 31.155372)
244,北外环信息产业园（北上海创意港）,上海市宝山区,2-2.6元/m2/天,2011年2月,31.355524,121.439398,POINT (121.439398 31.355524)
245,徐汇万科中心（租售中）,上海市徐汇区,5.2-7.33元/m2/天,,31.158604,121.433003,POINT (121.433003 31.158604)
246,古北SOHO,上海市长宁区,6.2-9.41元/m2/天,2018年,31.197592,121.404847,POINT (121.404847 31.197592)
247,恒利国际大厦,上海市静安区,5-7.5元/m2/天,2005年,31.226734,121.467142,POINT (121.467142 31.226734)
248,伟创·禾谷科创园,上海市闵行区,1.5-1.8元/m2/天,,31.081649,121.524998,POINT (121.524998 31.081649)
249,前滩大厦（浦江）,上海市闵行区,6-9元/m2/天,,31.089247,121.488627,POINT (121.488627 31.089247)
250,欧莱雅商务中心,上海市闵行区,3-3.2元/m2/天,,31.156585,121.334587,POINT (121.334587 31.156585)
251,梅山大楼,上海市静安区,4.2-5.5元/m2/天,2020年新改造,31.237483,121.441184,POINT (121.441184 31.237483)
252,新桥商务中心（国企楼盘）,上海市闵行区,3.6-4.55元/m2/天,2015年,31.1684,121.386843,POINT (121.386843 31.1684)
253,大树下虹口680数字科技创意园,上海市虹口区,2.7-4.3元/m2/天,2020年新改造,31.282421,121.475876,POINT (121.475876 31.282421)
254,优大科技园,上海市闵行区,1.4-2元/m2/天,2020年,31.070275,121.364517,POINT (121.364517 31.070275)
255,锦和越界1199,上海市闵行区,2-2.8元/m2/天,2019年,31.090214,121.4293,POINT (121.4293 31.090214)
256,越界尚勤园,上海市徐汇区,4.7-5.5元/m2/天,2021年12月份,31.169473,121.425308,POINT (121.425308 31.169473)
257,虹桥协信中心,上海市长宁区,3-6元/m2/天,2014年8月,31.201407,121.315432,POINT (121.315432 31.201407)
258,大宁财智中心,上海市闸北区,3.3-4.2元/m2/天,2012年12月,31.282413,121.446202,POINT (121.446202 31.282413)
259,渣打银行大厦,上海市浦东区,6.9-11元/m2/天,2008年,31.234971,121.510235,POINT (121.510235 31.234971)
260,仲盛金融中心,上海市长宁区,3.7-6元/m2/天,1996年,31.203999,121.40873,POINT (121.40873 31.203999)
261,世界广场(租售中）,上海市浦东区,3.5-8.5元/m2/天,,31.231588,121.515566,POINT (121.515566 31.231588)
262,华盛大厦,上海市黄浦区,4.5-7.8元/m2/天,1999年,31.234472,121.483338,POINT (121.483338 31.234472)
263,德必运动LOFT-Y街区,上海市虹口区,3.2-4.7元/m2/天,2016年,31.270724,121.470922,POINT (121.470922 31.270724)
264,亚洲大厦,上海市黄浦区,4.5-7.7元/m2/天,2007年10月份,31.233237,121.478597,POINT (121.478597 31.233237)
265,青浦宝龙城,上海市青浦区,2.2-3.2元/m2/天,2018年,-0.006505,-0.006004,POINT (-0.006004 -0.006505)
266,上海多礼米创业孵化基地(绥德路),上海市普陀区,2.3-4.2元/m2/天,2020年4月,31.264073,121.374042,POINT (121.374042 31.264073)
267,中土大厦,上海市闸北区,2.5-5元/m2/天,1998年,-0.006505,-0.006004,POINT (-0.006004 -0.006505)
268,长宁来福士广场,上海市长宁区,7.5-9.66元/m2/天,2014年,31.217219,121.414854,POINT (121.414854 31.217219)
269,兆丰广场（国企楼盘）,上海市长宁区,5.2-6.7元/m2/天,2001年,31.217934,121.419146,POINT (121.419146 31.217934)
270,西岸创意园（国企楼盘）,上海市徐汇区,3.8-9元/m2/天,2008年12月,31.18811,121.42529,POINT (121.42529 31.18811)
271,江裕大厦,上海市闸北区,2.5-5.5元/m2/天,2011年12月份,31.2785,121.438878,POINT (121.438878 31.2785)
272,天物空间·金桥,上海市浦东区,3.2-7元/m2/天,,31.255535,121.604651,POINT (121.604651 31.255535)
273,新陆国际商务大厦,上海市宝山区,3.4-3.6元/m2/天,,31.319313,121.447921,POINT (121.447921 31.319313)
274,尚嘉中心,上海市长宁区,7.2-8.5元/m2/天,2012年,31.205713,121.407631,POINT (121.407631 31.205713)
275,思创中心,上海市闸北区,3.3-4.8元/m2/天,,31.280394,121.442341,POINT (121.442341 31.280394)
276,越界·丝腾光华酷,上海市闵行区,2-4.2元/m2/天,2018年10月,31.069677,121.393071,POINT (121.393071 31.069677)
277,梦想加(中骏广场),上海市长宁区,3.5-6.2元/m2/天,2016年,31.210791,121.315154,POINT (121.315154 31.210791)
278,绿地虹桥世界中心（租售中）,上海市长宁区,2.5-7元/m2/天,,31.184022,121.304957,POINT (121.304957 31.184022)
279,1933老场坊（国企楼盘）,上海市虹口区,3.7-8元/m2/天,2008年2月,31.253395,121.493171,POINT (121.493171 31.253395)
280,麦可将文创园区,上海市闵行区,2.3-4.5元/m2/天,2012年,31.143648,121.347141,POINT (121.347141 31.143648)
281,天纳创意产业园,上海市浦东区,1.5-2.7元/m2/天,,31.096355,121.56782,POINT (121.56782 31.096355)
